"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2015-Q4",326004.14409973,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2016-Q1",346025.17238565,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2016-Q2",175623.08940262,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2016-Q3",358478.93694322,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2016-Q4",316248.84716277,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2017-Q1",358152.56956445,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2017-Q2",321606.09492765,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2017-Q3",386118.22025477,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2017-Q4",136251.24283047,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2018-Q1",183300.60461539,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2018-Q2",36992.126847783,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2018-Q3",248657.44674119,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2018-Q4",79463.006861133,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2019-Q1",238239.18358768,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2019-Q2",134721.87719812,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2019-Q3",224939.25916613,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2019-Q4",213765.57160722,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2020-Q1",180947.93595244,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2020-Q2",70454.305034887,
